Year,Player,Age,G,MP,PER,TS%,WS,VORP,FG%,FT%,TRB,AST,STL,BLK,PTS,PPG,RPG,APG,SPG,BPG,MVP
1985,Kenny Natt,26,4,16,7.3,0,0,0,0,,1,3,1,0,0,0,0.25,0.75,0.25,0,0
1985,Ed Nealy,24,22,225,9.6,0.5920000000000001,0.3,0,0.591,0.526,44,18,3,1,62,2.8181818181818183,2,0.8181818181818182,0.13636363636363635,0.045454545454545456,0
1985,Chuck Nevitt,25,11,59,2.1,0.292,-0.2,-0.1,0.294,0.25,20,3,0,15,12,1.0909090909090908,1.8181818181818181,0.2727272727272727,0,1.3636363636363635,0
1985,Kurt Nimphius,26,82,2010,10.9,0.504,3.3,1.4,0.452,0.7709999999999999,408,183,30,126,500,6.097560975609756,4.975609756097561,2.231707317073171,0.36585365853658536,1.5365853658536586,0
1985,Norm Nixon,29,81,2894,15.6,0.507,3.7,0.5,0.465,0.78,218,711,95,4,1395,17.22222222222222,2.691358024691358,8.777777777777779,1.1728395061728396,0.04938271604938271,0
1985,Audie Norris,24,78,1117,10.6,0.6,1.9,0,0.5429999999999999,0.665,250,47,42,33,401,5.141025641025641,3.2051282051282053,0.6025641025641025,0.5384615384615384,0.4230769230769231,0
1985,Mike O'Koren,26,43,1119,12.4,0.518,1.9,0.3,0.494,0.627,166,102,32,16,438,10.186046511627907,3.86046511627907,2.372093023255814,0.7441860465116279,0.37209302325581395,0
1985,Hakeem Olajuwon*,22,82,2914,21.1,0.564,10.2,4,0.5379999999999999,0.613,974,111,99,220,1692,20.634146341463413,11.878048780487806,1.353658536585366,1.2073170731707317,2.682926829268293,0
1985,Mark Olberding,28,81,2277,12.2,0.603,4.1,1.4,0.502,0.8320000000000001,513,243,56,11,823,10.160493827160494,6.333333333333333,3,0.691358024691358,0.13580246913580246,0
1985,Jawann Oldham,27,63,993,9.7,0.495,1,0.4,0.46399999999999997,0.68,236,31,11,127,212,3.365079365079365,3.746031746031746,0.49206349206349204,0.1746031746031746,2.015873015873016,0
1985,Louis Orr,26,79,2452,13.8,0.552,4.8,1.7,0.486,0.784,391,134,100,27,1007,12.746835443037975,4.949367088607595,1.6962025316455696,1.2658227848101267,0.34177215189873417,0
1985,Robert Parish*,31,79,2850,17.6,0.586,9,2.2,0.542,0.743,840,125,56,101,1394,17.645569620253166,10.632911392405063,1.5822784810126582,0.7088607594936709,1.2784810126582278,0
1985,Billy Paultz,36,62,370,5,0.413,0,-0.4,0.368,0.643,96,16,6,11,82,1.3225806451612903,1.5483870967741935,0.25806451612903225,0.0967741935483871,0.1774193548387097,0
1985,Jim Paxson,27,68,2253,17.3,0.555,6.5,1.7,0.514,0.79,222,264,101,5,1218,17.91176470588235,3.264705882352941,3.8823529411764706,1.4852941176470589,0.07352941176470588,0
1985,John Paxson,24,78,1259,12.6,0.5660000000000001,2.3,-0.4,0.509,0.84,68,215,45,3,486,6.230769230769231,0.8717948717948718,2.7564102564102564,0.5769230769230769,0.038461538461538464,0
1985,Sam Perkins,23,82,2317,15,0.535,5.8,1.7,0.47100000000000003,0.82,605,135,63,63,903,11.012195121951219,7.378048780487805,1.646341463414634,0.7682926829268293,0.7682926829268293,0
1985,Jim Petersen,22,60,714,6.6,0.5489999999999999,0.3,-0.3,0.486,0.758,147,29,14,32,190,3.1666666666666665,2.45,0.48333333333333334,0.23333333333333334,0.5333333333333333,0
1985,Ricky Pierce,25,44,882,15.8,0.599,3,0.7,0.537,0.823,117,94,34,5,433,9.840909090909092,2.659090909090909,2.1363636363636362,0.7727272727272727,0.11363636363636363,0
1985,Charles Pittman,26,68,1001,9.1,0.555,0.9,-0.2,0.47100000000000003,0.747,227,69,20,21,323,4.75,3.338235294117647,1.0147058823529411,0.29411764705882354,0.3088235294117647,0
1985,Gary Plummer,22,66,702,7.5,0.45899999999999996,-0.2,-0.9,0.397,0.7070000000000001,134,26,15,14,250,3.787878787878788,2.0303030303030303,0.3939393939393939,0.22727272727272727,0.21212121212121213,0
1985,David Pope,22,22,129,2.1,0.349,-0.2,-0.2,0.321,0.5379999999999999,18,5,3,3,41,1.8636363636363635,0.8181818181818182,0.22727272727272727,0.13636363636363635,0.13636363636363635,0
1985,Ben Poquette,29,79,1656,12.6,0.514,3.5,0.9,0.46,0.7959999999999999,473,79,47,58,532,6.734177215189874,5.987341772151899,1,0.5949367088607594,0.7341772151898734,0
1985,Paul Pressey,26,80,2876,17.6,0.5770000000000001,9.6,4.7,0.517,0.758,429,543,129,56,1284,16.05,5.3625,6.7875,1.6125,0.7,0
1985,Kurt Rambis,26,82,1617,12.7,0.5770000000000001,4.1,1.5,0.5539999999999999,0.66,528,69,82,47,430,5.2439024390243905,6.439024390243903,0.8414634146341463,1,0.573170731707317,0
1985,Kelvin Ransey,26,81,1689,15.3,0.505,3.4,0,0.45899999999999996,0.8590000000000001,130,355,87,7,724,8.938271604938272,1.6049382716049383,4.382716049382716,1.0740740740740742,0.08641975308641975,0
